tipo,nome,repositorio,kingdom,tag,url
ocorrencias,Museu Paraense Emílio Goeldi - Crocodylia Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-crocodilia_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Diptera Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-diptera_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Hexapoda Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-hexapoda_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Lacertilia Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-lacertilia_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Mastozoology Collection,mpeg,Animalia,museu_paraense_emilio_goeldi_mastozoology_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Mollusca Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-mollusca_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Myriapoda Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-myriapoda_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Nematoda Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-nematoda_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Ophidia Collection,mpeg,Animalia,museu_paraense_emilio_goeldi_ophidia_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Opiliones Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiaopiliones,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Ornithology Collection - Feathers and Skin,mpeg,Animalia,museu_paraense_emilio_goeldi_ornithology_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Ornithology Collection - Osteological,mpeg,Animalia,museu_paraense_emilio_goeldi-ornithology_collection_osteological,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Platyhelminthes Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-platyhelminthes_collection,https://ipt.sibbr.gov.br/goeldi/
